Date : 2026-04-13 19:56:05
Directory : c:\Users\gonca\Desktop\Gofish-Web
Total : 659 files,  49473 codes, 4942 comments, 8271 blanks, all 62686 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\user-title\user-title.component.ts                                                                         | TypeScript         |         10 |          1 |          3 |         14 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\users-chart\users-chart.component.css                                                                      | PostCSS            |         11 |          0 |          2 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\users-chart\users-chart.component.html                                                                     | HTML               |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\users-chart\users-chart.component.ts                                                                       | TypeScript         |         87 |          1 |         16 |        104 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\verify-twofa-container\verify-twofa-container.component.css                                                | PostCSS            |         23 |          1 |          5 |         29 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\verify-twofa-container\verify-twofa-container.component.html                                               | HTML               |          7 |          1 |          2 |         10 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\components\verify-twofa-container\verify-twofa-container.component.ts                                                 | TypeScript         |         60 |          1 |         10 |         71 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\constants\index.ts                                                                                                    | TypeScript         |        125 |          9 |         22 |        156 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\busy-state.ts                                                                                                    | TypeScript         |         19 |          1 |          8 |         28 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\gofish-validators.ts                                                                                             | TypeScript         |         40 |         12 |         11 |         63 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\loading-state.ts                                                                                                 | TypeScript         |         28 |          0 |          9 |         37 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\modal-controller.ts                                                                                              | TypeScript         |         15 |         28 |          8 |         51 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\popover-controller.ts                                                                                            | TypeScript         |         12 |         15 |          7 |         34 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\popup-controller.ts                                                                                              | TypeScript         |         11 |          6 |          6 |         23 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\problem-details.ts                                                                                               | TypeScript         |         33 |          1 |          6 |         40 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\core\reactive-forms-controller.ts                                                                                     | TypeScript         |         70 |          6 |         15 |         91 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\directives\click-outside.directive.ts                                                                                 | TypeScript         |         14 |          1 |          5 |         20 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\directives\letters-only.directive.ts                                                                                  | TypeScript         |         20 |          1 |          4 |         25 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\directives\mouse-follow.directive.ts                                                                                  | TypeScript         |         41 |          0 |         13 |         54 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\directives\numbers-only.directive.ts                                                                                  | TypeScript         |         12 |          1 |          3 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\auth.dto.ts                                                                                                      | TypeScript         |         31 |          2 |          9 |         42 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\enum.dto.ts                                                                                                      | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\get-feed.dto.ts                                                                                                  | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\get-post.dto.ts                                                                                                  | TypeScript         |         72 |          5 |         16 |         93 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\group.dto.ts                                                                                                     | TypeScript         |        144 |          7 |         29 |        180 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\members.dto.ts                                                                                                   | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\pin.dto.ts                                                                                                       | TypeScript         |        267 |         10 |         50 |        327 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\report.dto.ts                                                                                                    | TypeScript         |         51 |          0 |         11 |         62 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\stats.dto.ts                                                                                                     | TypeScript         |         57 |          1 |         16 |         74 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\user-account.dto.ts                                                                                              | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\user-profile.dto.ts                                                                                              | TypeScript         |         52 |          8 |         11 |         71 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\user-security.dto.ts                                                                                             | TypeScript         |         67 |         11 |         17 |         95 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\user.dto.ts                                                                                                      | TypeScript         |        156 |          8 |         30 |        194 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\dtos\vote-post.dto.ts                                                                                                 | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\access-difficulty.enums.ts                                                                                      | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\bait.enums.ts                                                                                                   | TypeScript         |         22 |          1 |          3 |         26 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\comment-report-reason.enum.ts                                                                                   | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\feed-kind.enum.ts                                                                                               | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\friendship-state.enum.ts                                                                                        | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\gender.enum.ts                                                                                                  | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\group-role.enum.ts                                                                                              | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\pin-report-reason.enum.ts                                                                                       | TypeScript         |         24 |          0 |          2 |         26 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\seabed.enum.ts                                                                                                  | TypeScript         |         15 |          0 |          1 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\species.enum.ts                                                                                                 | TypeScript         |         48 |          1 |          3 |         52 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\two-factor-method.enum.ts                                                                                       | TypeScript         |          6 |          2 |          3 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\visibility-level.enum.ts                                                                                        | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\vote-kind.enum.ts                                                                                               | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\enums\warning-kind.enum.ts                                                                                            | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\guards\admin.guard.ts                                                                                                 | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\guards\auth.guard.ts                                                                                                  | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\guards\no-totp.guard.ts                                                                                               | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\interceptors\auth.interceptor.ts                                                                                      | TypeScript         |         25 |          3 |          4 |         32 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\models\coords.model.ts                                                                                                | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\models\jwt.model.ts                                                                                                   | TypeScript         |         33 |          0 |          8 |         41 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\models\modal.model.ts                                                                                                 | TypeScript         |          5 |          2 |          3 |         10 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\models\pin.model.ts                                                                                                   | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\models\popup.model.ts                                                                                                 | TypeScript         |         11 |         11 |          5 |         27 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\models\user-security.models.ts                                                                                        | TypeScript         |         12 |          2 |          3 |         17 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\pipes\absolute.pipe.ts                                                                                                | TypeScript         |          9 |          1 |          3 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\pipes\fallback.pipe.ts                                                                                                | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\pipes\first-key.pipe.ts                                                                                               | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\pipes\regex-matches.pipe.ts                                                                                           | TypeScript         |          7 |          1 |          3 |         11 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\pipes\time-ago.pipe.ts                                                                                                | TypeScript         |         35 |          0 |         12 |         47 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\auth.service.ts                                                                                              | TypeScript         |         77 |         27 |         23 |        127 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\avatar.service.ts                                                                                            | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\geolocation.service.ts                                                                                       | TypeScript         |         56 |          1 |          8 |         65 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\groups.service.ts                                                                                            | TypeScript         |         60 |          0 |         14 |         74 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\modal.service.ts                                                                                             | TypeScript         |         15 |         10 |          5 |         30 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\pin.service.ts                                                                                               | TypeScript         |        125 |          0 |         26 |        151 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\popover.service.ts                                                                                           | TypeScript         |         22 |         10 |          8 |         40 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\popup.service.ts                                                                                             | TypeScript         |         28 |          6 |          8 |         42 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\report.service.ts                                                                                            | TypeScript         |         77 |          0 |         19 |         96 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\stats.service.ts                                                                                             | TypeScript         |         57 |          1 |         18 |         76 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\user-account.service.ts                                                                                      | TypeScript         |         20 |          2 |          7 |         29 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\user-manager.service.ts                                                                                      | TypeScript         |        131 |          5 |         19 |        155 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\shared\services\user-security.service.ts                                                                                     | TypeScript         |         26 |          2 |          9 |         37 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\environments\environment.development.ts                                                                                          | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\environments\environment.ts                                                                                                      | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\index.html                                                                                                                       | HTML               |         18 |          0 |          1 |         19 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\main.ts                                                                                                                          | TypeScript         |          5 |         25 |          3 |         33 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\src\styles.css                                                                                                                       | PostCSS            |      1,353 |        280 |        267 |      1,900 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\staticwebapp.config.json                                                                                                             | JSON               |         13 |          0 |          1 |         14 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\tsconfig.app.json                                                                                                                    | JSON               |         13 |          2 |          1 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\tsconfig.json                                                                                                                        | JSON with Comments |         30 |          2 |          1 |         33 |
| c:\Users\gonca\Desktop\Gofish-Web\angular\tsconfig.spec.json                                                                                                                   | JSON               |         13 |          2 |          1 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\.config\dotnet-tools.json                                                                                                            | JSON               |         13 |          0 |          0 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Controllers\AuthControllerTests.cs                                                                                   | C#                 |        108 |          3 |         17 |        128 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Controllers\GroupControllerTests.cs                                                                                  | C#                 |        602 |          0 |        177 |        779 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Controllers\PinControllerTests.cs                                                                                    | C#                 |        297 |          2 |         85 |        384 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Controllers\ReportControllerTests.cs                                                                                 | C#                 |        168 |          0 |         48 |        216 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Controllers\StatsControllerTests.cs                                                                                  | C#                 |        332 |          0 |         69 |        401 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Controllers\UserControllerTests.cs                                                                                   | C#                 |        337 |          0 |         92 |        429 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Fixtures\FakeAuthenticationHandler.cs                                                                                | C#                 |         27 |          3 |          8 |         38 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Fixtures\FakeBlobStorageService.cs                                                                                   | C#                 |         22 |          2 |          5 |         29 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Fixtures\PinSeedFixture.cs                                                                                           | C#                 |        100 |          0 |          7 |        107 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Fixtures\WebAppFactory.cs                                                                                            | C#                 |         74 |          2 |         14 |         90 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\GofishApi.Tests.csproj                                                                                               | XML                |         46 |          0 |          9 |         55 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\auth-users.js                                                                                              | JavaScript         |         37 |          0 |          6 |         43 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\auth.js                                                                                                    | JavaScript         |         16 |          0 |          5 |         21 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\scenarios\group-getGroup.js                                                                                | JavaScript         |         45 |          1 |          9 |         55 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\scenarios\group-getUserGroup.js                                                                            | JavaScript         |         46 |          1 |          9 |         56 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\scenarios\pin-getFeed.js                                                                                   | JavaScript         |         36 |          1 |          9 |         46 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\scenarios\pin-getPins.js                                                                                   | JavaScript         |         50 |          1 |          7 |         58 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\LoadTests\scenarios\stats-getTotalUsers.js                                                                           | JavaScript         |         35 |          1 |          8 |         44 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Services\GamificationServiceTests.cs                                                                                 | C#                 |        372 |          0 |        123 |        495 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Services\JwtServiceTests.cs                                                                                          | C#                 |        142 |          0 |         36 |        178 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi.Tests\Services\VisibilityServiceTests.cs                                                                                   | C#                 |        272 |          0 |         66 |        338 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Builders\AppUserBuilder.cs                                                                                                 | C#                 |         87 |          0 |         18 |        105 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Builders\IAppUserBuilder.cs                                                                                                | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\AuthController.cs                                                                                              | C#                 |        157 |          3 |         28 |        188 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\EnumsController.cs                                                                                             | C#                 |         24 |          0 |          3 |         27 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\GroupController.cs                                                                                             | C#                 |        567 |          2 |        142 |        711 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\PinController.cs                                                                                               | C#                 |        463 |          9 |         70 |        542 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\RatingsController.cs                                                                                           | C#                 |        129 |          0 |         28 |        157 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\ReportController.cs                                                                                            | C#                 |        325 |          0 |         71 |        396 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\StatsController.cs                                                                                             | C#                 |        237 |          1 |         69 |        307 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserAccountController.cs                                                                                       | C#                 |         82 |          2 |         12 |         96 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserController.cs                                                                                              | C#                 |        611 |         17 |        145 |        773 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserProfileController.cs                                                                                       | C#                 |        194 |          0 |         30 |        224 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Controllers\UserSecurityController.cs                                                                                      | C#                 |        368 |         43 |         83 |        494 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Data\AppDbContext.cs                                                                                                       | C#                 |        534 |          2 |        102 |        638 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\AuthDtos.cs                                                                                                           | C#                 |         35 |          1 |         10 |         46 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\EnumsDtos.cs                                                                                                          | C#                 |         24 |          0 |         12 |         36 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\GroupDtos.cs                                                                                                          | C#                 |        112 |         16 |         21 |        149 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\CreateCatchPinDTO.cs                                                                                              | C#                 |         16 |          0 |          5 |         21 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\CreateGroupDTO.cs                                                                                                 | C#                 |         10 |          0 |          6 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\CreateInfoPinDTO.cs                                                                                               | C#                 |         14 |          0 |          4 |         18 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\CreatePostCommentDTO.cs                                                                                           | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\CreateWarnPinDTO.cs                                                                                               | C#                 |         13 |          0 |          5 |         18 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\DeleteAccountDTO.cs                                                                                               | C#                 |          6 |          1 |          3 |         10 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\EnumDTO.cs                                                                                                        | C#                 |          0 |         21 |          1 |         22 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\GetFeedDTO.cs                                                                                                     | C#                 |          0 |         18 |          1 |         19 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\GetGroupDTO.cs                                                                                                    | C#                 |         57 |          0 |         13 |         70 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\GetPinsDTO.cs                                                                                                     | C#                 |          0 |        135 |          1 |        136 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\GetPostsDTO.cs                                                                                                    | C#                 |          0 |        159 |          1 |        160 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\GroupMembersDTO.cs                                                                                                | C#                 |         19 |          0 |          4 |         23 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\PostVoteDTO.cs                                                                                                    | C#                 |          9 |          0 |          3 |         12 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\SendGroupInviteDTO.cs                                                                                             | C#                 |          8 |          0 |          2 |         10 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\Old\ViewportPinsDTO.cs                                                                                                | C#                 |         15 |          2 |          5 |         22 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\PinDtos.cs                                                                                                            | C#                 |        254 |         12 |         37 |        303 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\RatingDtos.cs                                                                                                         | C#                 |         30 |          0 |          6 |         36 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\ReportDtos.cs                                                                                                         | C#                 |         53 |          0 |         12 |         65 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\StatisticsDtos.cs                                                                                                     | C#                 |         58 |          0 |         17 |         75 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\UserAccountDtos.cs                                                                                                    | C#                 |          7 |          0 |         11 |         18 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\UserDtos.cs                                                                                                           | C#                 |        237 |          6 |         35 |        278 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\UserProfileDtos.cs                                                                                                    | C#                 |         51 |          0 |         13 |         64 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Dtos\UserSecurityDtos.cs                                                                                                   | C#                 |         75 |          7 |         17 |         99 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\AccessDifficulty.cs                                                                                                  | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\Bait.cs                                                                                                              | C#                 |         14 |          0 |          3 |         17 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\CommentReportReason.cs                                                                                               | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\FeedKind.cs                                                                                                          | C#                 |          7 |          0 |          2 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\FriendshipState.cs                                                                                                   | C#                 |          7 |          0 |          2 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\Gender.cs                                                                                                            | C#                 |          7 |          0 |          2 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\GroupRole.cs                                                                                                         | C#                 |          8 |         22 |          4 |         34 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\PinKind.cs                                                                                                           | C#                 |          7 |          0 |          2 |          9 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\PinReportReason.cs                                                                                                   | C#                 |         15 |          0 |          3 |         18 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\Seabed.cs                                                                                                            | C#                 |         18 |          0 |          3 |         21 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\Species.cs                                                                                                           | C#                 |         27 |          0 |          4 |         31 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\TwoFactorMethod.cs                                                                                                   | C#                 |          8 |          0 |          2 |         10 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\VisibilityLevel.cs                                                                                                   | C#                 |          9 |          0 |          3 |         12 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\VoteKind.cs                                                                                                          | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Enums\WarningKind.cs                                                                                                       | C#                 |         13 |          0 |          3 |         16 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Exceptions\AppException.cs                                                                                                 | C#                 |         38 |         27 |         11 |         76 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Exceptions\AppValidationException.cs                                                                                       | C#                 |         32 |          3 |          5 |         40 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Exceptions\GamificationException.cs                                                                                        | C#                 |         16 |          0 |          4 |         20 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Exceptions\IdentityException.cs                                                                                            | C#                 |         15 |          0 |          5 |         20 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Extensions\EnumExtensions.cs                                                                                               | C#                 |         19 |          0 |          6 |         25 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Extensions\ProblemDetailsFactoryExtensions.cs                                                                              | C#                 |         54 |          2 |          5 |         61 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Extensions\WebApplicationBuilderExtensions.cs                                                                              | C#                 |        119 |         11 |         11 |        141 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Extensions\WebApplicationExtensions.cs                                                                                     | C#                 |         34 |         16 |          9 |         59 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\GofishApi.csproj                                                                                                           | XML                |         31 |          0 |          6 |         37 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Middleware\ApiRequestLoggingMiddleware.cs                                                                                  | C#                 |         34 |          0 |          8 |         42 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\AppUser.cs                                                                                                          | C#                 |         50 |         15 |         16 |         81 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\CatchPin.cs                                                                                                         | C#                 |         11 |          1 |          7 |         19 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Comment.cs                                                                                                          | C#                 |         17 |          1 |          9 |         27 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Friendship.cs                                                                                                       | C#                 |         18 |          1 |         10 |         29 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\Group.cs                                                                                                            | C#                 |         22 |          1 |         10 |         33 |
| c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\Models\GroupInvite.cs                                                                                                      | C#                 |         20 |          1 |         10 |         31 |
